,LSA,Luhn,LexRank,SumBasics,Random,Reduction
Rouge_1,0.0008487197853120432,0.0008835193757359249,0.0009005488570194073,0.0008162051014561339,0.0008656685228673536,0.0009481344300260986
Rouge_2,0.0003748458354227527,0.00039995463565360126,0.0003755881329427228,0.0003534325556905589,0.0003046900357757176,0.0004397887236144495
Rouge_L_sentence_level,0.0004583530649378909,0.0005190363035592436,0.0005268792724296879,0.0005386865456005735,0.0004938175326337153,0.000528845032772609
Rouge_L_summary_level,7.875800312898944e-05,9.421693422908475e-05,9.687152202087054e-05,0.00010591575504061914,9.835530716019932e-05,9.802745364719904e-05
