,LSA,Luhn,LexRank,SumBasics,Random,Reduction
Rouge_1,0.19129554667691548,0.16642456447550957,0.15388408091231184,0.13281555536331563,0.11487371652280214,0.18978306809618825
Rouge_2,0.022621746224848718,0.023505953413081673,0.02136607091723728,0.01890046427414799,0.013466618288949683,0.027967681881886867
Rouge_L_sentence_level,0.10896814909474072,0.11743202656064981,0.11764499671866697,0.11598354200332352,0.10889269370564847,0.1215604929846855
Rouge_L_summary_level,0.038264104469752064,0.04527361107254518,0.046766617305106645,0.051328062906160134,0.04752021222043137,0.042636103682762924
