,LSA,Lunh,SumBasic,LexRank,Reduction
Rouge_1,0.27854402092298336,0.29424467606442595,0.12959353848252414,0.25672793093240065,0.324739890170099
Rouge_2,0.10737888437726009,0.14576939093717708,0.03975856531064627,0.13109881639014204,0.15930799941409002
Rouge_L_sentence_level,0.1792011095529874,0.22326674734936325,0.1254665639117944,0.21542358046638266,0.23118520770531584
Rouge_L_summary_level,0.0336478518954499,0.039360997524973476,0.048362258425021086,0.04318922180350451,0.03631880896744901
