,LSA,Lunh,SumBasic,LexRank,Reduction
Rouge_1,0.002419816281461207,0.002836446889889591,0.0016711034062544324,0.0028541289855693545,0.002851048184407913
Rouge_2,0.002645582444175608,0.003116231649094196,0.0015443308982555195,0.0030301380237328017,0.003192471572749779
Rouge_L_sentence_level,0.0023997728028590185,0.002833653550293992,0.0015959754982457813,0.002823176265501359,0.0028914199994722356
Rouge_L_summary_level,0.00014314400259223914,0.00017392692869682075,0.00026154404421248003,0.00019176248119887296,0.0001733709821465247
