,LSA,Luhn,LexRank,SumBasics,Random,Reduction
Rouge_1,0.002480345961547577,0.002924060534003999,0.0029603510707245273,0.0017376207929956865,0.0017260561599912717,0.0029220962348883313
Rouge_2,0.0027790355073519933,0.003271527600823874,0.0031840815309173705,0.0016263278951923594,0.001578996236707932,0.0033486199998879894
Rouge_L_sentence_level,0.002480262253335122,0.0029304706531989846,0.0029208694884596082,0.0016463697294036078,0.0015416479164575031,0.002988925783791025
Rouge_L_summary_level,0.00014665293098994143,0.00017795895971825244,0.00019560834201319205,0.0002685206234413977,0.00019116961210388858,0.0001770369115706657
