,LSA,Luhn,LexRank,SumBasics,Random,Reduction
Rouge_1,0.29098482410279425,0.3077337421172876,0.2684492112244959,0.13540907124014412,0.15366160477816593,0.33977824444790644
Rouge_2,0.11313184125590883,0.15369737068006922,0.13822983220791793,0.04175859134475836,0.03874849952472711,0.16783142994059566
Rouge_L_sentence_level,0.1816238594965289,0.22628130998224993,0.21833612748117687,0.1260447305654145,0.12501233914253318,0.2342016237468819
Rouge_L_summary_level,0.03359982709451459,0.039300205172750374,0.04307749645282924,0.04827978062715594,0.04412535099066855,0.03626637879207966
